FirmName, Analyst F Name, Analyst L Name
"Ladenburg Thalmann & Co.","Juan","Sanchez"
"Punk, Ziegel & Co.","Juan","Sanchez"
"Goldman Sachs","Sarah","Friar"
"RBC Capital Markets","Howard","Tubin"
"Bear Stearns","Stephen","Unger"
"Lazard Capital Markets","Jeffrey","Frelick"
"Brean Murray, Carret & Co.","Gene","Mack"
"HSBC","Gene","Mack"
"Lazard Capital Markets","Gene","Mack"
"Mizuho Securities USA","Gene","Mack"
"First Dallas Securities","Christopher","Terry"
"Genuity Capital Markets","Chantal","Gosselin"
"A. G. Edwards & Sons, Inc.","Gary","Mobley"
"Piper Jaffray","Gary","Mobley"
"The Benchmark Company","Gary","Mobley"
"Bear Stearns","Christopher","Ensley"
"Brean Murray, Carret & Co.","James","O'Brien"
"Ragen Mackenzie, A Divsn Of Wells Fargo","John","O'Brien"
"Sandler O'Neill & Partners L.P.","Thomas","Doheny"
"Forun Technologies, Inc.","Chang Hua","Qiu"
"Forun Technologies, Inc.","Chang","Qiu"
"Goldsmith & Harris","Jay","Harris"
"JMP Securities","Charles","Duncan"
"Suntrust Robinson Humphrey","Chris","Donaghey"
"Cathay Financial Inc.","Andrew","Baker"
"Genuity Capital Markets","Mark","Rothschild"
"Ryan Beck & Co.","Kevin","Reevey"
"First Berlin Ag","Nathan","Kohlhoff"
"BAS-ML","Michael","Keara"
"Merrill Lynch","Michael","Keara"
"Sandler O'Neill & Partners L.P.","Kevin","Fitzsimmons"
"TD Newcrest","Linda","Ezergailis"
"Erik Penser","Johan","Dahl"
"Hagstromer & Qviberg Fondkommission Ab","Johan","Dahl"
"Deutsche Bank Securities","Bill","Dreher"
"Roth Capital Partners LLC","Mark","Taylor"
"Kaufman Bros.","Ari","Moses"
"Goldman Sachs","Randall","Stanicky"
"Hoefer & Arnett Inc.","Don","Worthington"
"Howe Barnes Hoefer & Arnett Inc.","Donald","Worthington"
"Carnegie Investment Bank Ab","Preben Rasch","Olsen"
"Carnegie Investment Bank Ab","Preben","Olsen"
"Carnegie Investment Bank Ab","Preben","Rasch Olsen"
"Roth Capital Partners LLC","Russell","Hoss"
"Westminster Securities","William","Lyons"
"Sandgrain Securities, Inc.","Alex","Alma"
"Jackson Securities","Greg","Gorbatenko"
"CIBC World Markets","Brad","Borggard"
"Jefferies & Co.","Thomas","Wei"
"Piper Jaffray","Thomas","Wei"
"Canaccord Genuity","John","Tasdemir"
"Raymond James","John","Tasdemir"
"Tristone Capital Inc","John","Tasdemir"
"Thomas Weisel Partners","Eric","Percher"
"BB&T Capital Markets","Scott","Krasik"
"C.L. King & Associates, Inc.","Scott","Krasik"
"KBC Peel Hunt","Alex","Jarvis"
"Fairview Capital Group","Gary","Hobbib"
"Scotia Capital","Navdeep","Malik"
"Gmp Securities Ltd.","Michael","Urlocker"
"FBR Capital Markets & Co.","Scott","Valentin"
"Friedman, Billings, Ramsey & Co.","Scott","Valentin"
"UBS","Michael","Wallace"
"Goldman Sachs","Simon","Weeden"
"Credit Suisse","Chris","Ceraso"
"Credit Suisse","Christopher","Ceraso"
"Credit Suisse First Boston","Christopher","Ceraso"
"Cowen And Company","Gregg","Moskowitz"
"Susquehanna Financial Group","Gregg","Moskowitz"
"Morgan, Keegan & Company, Inc.","Robert","Dodd"
"CIBC World Markets","Bret","Holley"
"Oppenheimer & Co.","Bret","Holley"
"Venture Research Llc","Clay","Mahaffey"
"Credit Suisse","Arun","Jayaram"
"Credit Suisse First Boston","Arun","Jayaram"
"Cathay Financial Inc.","Stephen","Velgot"
"Susquehanna Financial Group","Stephen","Velgot"
"Friedman, Billings, Ramsey & Co.","Ryan","Kelley"
"Banc Of America Securities","Jonathan","Jacoby"
"Citi","Stephen","Trent"
"Citigroup","Stephen","Trent"
"Credit Suisse","Tricia","Song"
"Howe Barnes Hoefer & Arnett Inc.","John","Rodis"
"First Analysis Corp.","Craig","Nankervis"
"First Analysis Corp.","John","Flanagin"
"First Analysis Corp.","Corey","Greendale"
"Dowling & Partners Securities, LLC","Sushil","Garg"
"Americas Growth Capital","David","Wood"
"JPMorgan","Ben","Laidler"
"UBS","Ben","Laidler"
"Global Hunter Securities, LLC","Ron","Bookbinder"
"Sterne, Agee & Leach","Ron","Bookbinder"
"Pacific Growth Equities","Kaushik","Roy"
"Wedbush Morgan Securities Inc.","Kaushik","Roy"
"J.P. Morgan","Dara","Mohsenian"
"Morgan Stanley","Dara","Mohsenian"
"Credit Agricole Securities","Srini","Pajjuri"
"Merrill Lynch","Srini","Pajjuri"
"CIBC World Markets","David","Katz"
"Jefferies & Co.","David","Katz"
"Oppenheimer & Co.","David","Katz"
"Janco Partners, Inc.","Stuart","Kagel"
"Citi","Aynsley","Lammin"
"Citigroup","Aynsley","Lammin"
"RBC Capital Markets","Apjit","Walia"
"Barclays","Jay","Gelb"
"Barclays Capital","Jay","Gelb"
"BMO Capital Markets","Heather","Douglas"
"BMO Capital Markets-Canada","Heather","Douglas"
"Thomas Weisel Partners","Heather","Douglas"
"Banc Of America Securities","David","Vas"
"Piper Jaffray","Nicole Miller","Regan"
"Piper Jaffray","Nicole","Regan"
"A. G. Edwards & Sons, Inc.","Neil","Kalton"
"Wachovia Capital Markets, Llc","Neil","Kalton"
"Wells Fargo Securities, Llc","Neil","Kalton"
"Argus Research Corp.","Jeb","Armstrong"
"Calyon Securities (USA) Inc.","Jeb","Armstrong"
"Credit Agricole Securities","Jeb","Armstrong"
"Oppenheimer & Co.","Vijay","Rakesh"
"Sterne, Agee & Leach","Vijay","Rakesh"
"Thinkequity Llc","Vijay","Rakesh"
"HSBC","Rohit","Pandey"
"Morgan Joseph & Co Inc","Erik","Zamkoff"
"Capstone Investments","Carter","Driscoll"
"Stanford Group Company","Carter","Driscoll"
"Cleveland Research Company","Benjamin","Bollin"
"Goldman Sachs","Donald","Lu"
"Stanford Financial Group","Dallas","Webb"
"Banc Of America Securities","Daniel","Oppenheim"
"Credit Suisse","Daniel","Oppenheim"
"Thomas Weisel Partners","Ian","Somaiya"
"Thomas Weisel Partners","M.","Somaiya"
"Banc Of America Securities","Michael","Savner"
"Deutsche Bank Securities","Matt","O'Connor"
"UBS","Matthew","O'Connor"
"Canaccord Adams","Karl","Keegan"
"A. G. Edwards & Sons, Inc.","Mark","Reichman"
"Simmons & Company International","Mark","Reichman"
"Smh Capital","Mark","Reichman"
"Keefe, Bruyette & Woods","Frederick","Cannon"
"Keefe, Bruyette & Woods, Inc.","Frederick","Cannon"
"CIBC World Markets","Jacob","Bout"
"Credit Suisse","Dominique","Barker"
"Credit Suisse First Boston","Dominique","Barker"
"Auriga USA","Claire","Gallacher"
"Caris & Company","Claire","Gallacher"
"Dundee Securities Corporation","Allan","Stepa"
"Caris & Company","Nick","Aberle"
"First Global Stockbroking Ltd.","Vinay","Paharia"
"Morgan, Keegan & Company, Inc.","Chaz","Jones"
"Montgomery & Co.","John","Torrey"
"Susquehanna Financial Group","Amy","Stevens"
"Coker & Palmer Inc.","Michael","Bodino"
"Smh Capital","Michael","Bodino"
"Capstone Investments","William","Gregozeski"
"Sterne, Agee & Leach","Nicholas","Danna"
"Atlantic Equities","Victoria","Watson"
"Legg Mason Wood Walker, Inc.","John","Woolford"
"Prudential","Jared","Muroff"
"A. G. Edwards & Sons, Inc.","David","Wong"
"Wachovia Capital Markets, Llc","David","Wong"
"Wells Fargo Securities, Llc","David","Wong"
"RBC Capital Markets","Adam","Schatzker"
"Argus Research Company","Joseph","Bonner"
"Argus Research Corp.","Joseph","Bonner"
"Soleil - Neponset Equity Research, Inc.","Noelle","Tune"
"RBC Capital Markets","Jennifer","Hsui"
"JPMorgan","C Stephen","Tusa"
"J.P. Morgan","Stephen","Tusa"
"Goldman Sachs","Dennis","Maloney"
"Blackmont Capital","David","Washburn"
"First Global Stockbroking Ltd.","Siddhant","Devendramita"
"Bear Stearns","Ashley","Woodruff"
"Friedman, Billings, Ramsey & Co.","Ashley","Woodruff"
"Thomas Weisel Partners","Ajit","Pai"
"Cowen And Company","Elizabeth","Montgomery"
"Sg Cowen & Co.","Elizabeth","Montgomery"
"Salman Partners Inc.","Rodney","Stevens"
"Merrill Lynch","Rachael","Rothman"
"Barclays","Maurice","Patrick"
"Kansas City Capital","Peter","Gattermeir"
"Moors & Cabot Capital Markets","Scott","Carmel"
"Scotia Capital","Devan","Moodley"
"First Global Stockbroking Ltd.","Girish","Patil"
"Sturdivant & Co","Kathy","Jassem"
"Susquehanna Financial Group","Kevin","Wood"
"B. Riley & Company, Inc.","Andrew","Stapp"
"Cohen & Company","Andrew","Stapp"
"B. Riley & Company, Inc.","Andy","Stapp"
"Imperial Capital, LLC","Richard","Paget"
"Morgan Joseph & Co Inc","Richard","Paget"
"Canaccord Adams","Shant","Poladian"
"Raymond James","Brian","Gesuale"
"Canaccord Adams","Curtis","Trimble"
"Global Hunter Securities, LLC","Curtis","Trimble"
"Natixis Bleichroeder","Curtis","Trimble"
"Sterne, Agee & Leach","Curtis","Trimble"
"Pacific Crest Securities","Chad","Bartley"
"Petrie Parkman & Co","Stuart","Wagner"
"Cleveland Research Company","Kevin","Rottinghaus"
"Westwind Partners Inc","Matthew","O`Keefe"
"Cormark Securities Inc.","Matthew","O'Keefe"
"Thomas Weisel Partners Canada","Matthew","O'Keefe"
"UBS","Memet","Kont"
